subject,action,score
S13,limb_extension_left,92.96629627695285
S14,limb_extension_left,90.10315364869399
S15,limb_extension_left,75.69911248093224
S16,limb_extension_left,90.49355851219292
S17,limb_extension_left,76.3152448136755
S18,limb_extension_left,97.75787297181789
S19,limb_extension_left,92.69148997516973
S20,limb_extension_left,95.12251083339224
S21,limb_extension_left,92.83467283966851
S22,limb_extension_left,91.19078413841444
S23,limb_extension_left,92.66838316684888
S24,limb_extension_left,98.01278323219614
S25,limb_extension_left,77.71123263557871
S26,limb_extension_left,92.99600349947424
S27,limb_extension_left,90.36946731154151
S28,limb_extension_left,91.3637190269537
S29,limb_extension_left,98.25117177364766
S30,limb_extension_left,95.32941098863095
S31,limb_extension_left,88.83429038267028
S32,limb_extension_left,95.06144143416356
S33,limb_extension_left,99.42572933381253
S34,limb_extension_left,92.21347707754683
S35,limb_extension_left,95.63446470181385
S36,limb_extension_left,94.53019710126657
S37,limb_extension_left,94.32936953031825
S38,limb_extension_left,99.58000744425014
S39,limb_extension_left,94.54413471735708
S40,limb_extension_left,93.99576608080031
S01,limb_extension_right,98.85449826782354
S02,limb_extension_right,94.32344113856263
S03,limb_extension_right,94.22268030790484
S04,limb_extension_right,92.49196942509258
S05,limb_extension_right,94.73054523228403
S06,limb_extension_right,91.69059958811272
S07,limb_extension_right,93.28066864545431
S08,limb_extension_right,98.08403905195041
S09,limb_extension_right,90.8082012255648
S10,limb_extension_right,96.69058520429263
S11,limb_extension_right,97.61424626765711
S12,limb_extension_right,78.66432381643642
S13,limb_extension_right,97.88867223107798
S14,limb_extension_right,91.16841538676917
S15,limb_extension_right,81.40606253377607
S16,limb_extension_right,99.32612780155088
S17,limb_extension_right,79.56541343129643
S18,limb_extension_right,96.93459552858684
S19,limb_extension_right,92.388764107255
S20,limb_extension_right,95.53480187649203
S21,limb_extension_right,95.69770054064301
S22,limb_extension_right,99.70044850517169
S23,limb_extension_right,91.68327136509194
S24,limb_extension_right,98.59750786809263
S25,limb_extension_right,97.10656241846169
S26,limb_extension_right,98.99416297379487
S27,limb_extension_right,91.35816197389897
S28,limb_extension_right,99.1299389057811
S29,limb_extension_right,95.96487460828949
S30,limb_extension_right,91.2826855347952
S31,limb_extension_right,84.23160157494402
S32,limb_extension_right,94.61630585770084
S33,limb_extension_right,97.88209745438229
S34,limb_extension_right,99.14881198001302
S35,limb_extension_right,97.94115709861524
S36,limb_extension_right,94.57959677241206
S37,limb_extension_right,92.00291832681752
S38,limb_extension_right,99.51846013953019
S39,limb_extension_right,95.75738593414249
S40,limb_extension_right,94.58315327830354
S01,jumping_jacks,81.6887188756379
S02,jumping_jacks,95.164305822794
S03,jumping_jacks,93.46998992102598
S04,jumping_jacks,98.10865028010956
S05,jumping_jacks,72.05478102415634
S06,jumping_jacks,65.7311437178655
S07,jumping_jacks,85.94243883769161
S08,jumping_jacks,67.53055292329188
S09,jumping_jacks,93.01896072277734
S10,jumping_jacks,72.60553795624872
S11,jumping_jacks,87.72746108375078
S12,jumping_jacks,92.8955148314929
S13,jumping_jacks,43.270709610896255
S14,jumping_jacks,85.45047619491503
S15,jumping_jacks,94.94307709987257
S16,jumping_jacks,48.57062879452733
S17,jumping_jacks,76.0978449839725
S18,jumping_jacks,93.18179732629892
S19,jumping_jacks,68.48541327971199
S20,jumping_jacks,92.14706000643196
S21,jumping_jacks,65.10576933031362
S22,jumping_jacks,67.11255969934874
S23,jumping_jacks,75.49719996502125
S24,jumping_jacks,75.96270634170178
S25,jumping_jacks,94.39217793772029
S26,jumping_jacks,78.96786624624723
S27,jumping_jacks,79.97219962475242
S28,jumping_jacks,95.42002496766574
S29,jumping_jacks,88.99316485376406
S30,jumping_jacks,94.80748831540099
S31,jumping_jacks,87.04971901524078
S32,jumping_jacks,81.1569224460773
S33,jumping_jacks,87.31228768191315
S34,jumping_jacks,83.39736312513128
S35,jumping_jacks,57.291684492874055
S36,jumping_jacks,91.79815635353867
S37,jumping_jacks,70.39367745663166
S38,jumping_jacks,94.00756142911209
S39,jumping_jacks,83.6842496818474
S40,jumping_jacks,66.45623979556484
